tile_name,region,source_key,union_building_area_m2,union_building_coverage,feature_count,folder,shp
tile_000001,Beijing,tile_000001,57511.551,0.219389,726,D:\桌面\dac\512mdata\tile_000001,D:\桌面\dac\512mdata\tile_000001\tile_000001.shp
tile_000002,Beijing,tile_000002,91304.641,0.348300,1164,D:\桌面\dac\512mdata\tile_000002,D:\桌面\dac\512mdata\tile_000002\tile_000002.shp
tile_000003,Beijing,tile_000003,74650.421,0.284769,867,D:\桌面\dac\512mdata\tile_000003,D:\桌面\dac\512mdata\tile_000003\tile_000003.shp
tile_000004,Beijing,tile_000004,53079.893,0.202484,648,D:\桌面\dac\512mdata\tile_000004,D:\桌面\dac\512mdata\tile_000004\tile_000004.shp
tile_000005,Beijing,tile_000005,54341.679,0.207297,632,D:\桌面\dac\512mdata\tile_000005,D:\桌面\dac\512mdata\tile_000005\tile_000005.shp
tile_000006,Beijing,tile_000006,97655.704,0.372527,1172,D:\桌面\dac\512mdata\tile_000006,D:\桌面\dac\512mdata\tile_000006\tile_000006.shp
tile_000007,Beijing,tile_000007,71654.555,0.273340,850,D:\桌面\dac\512mdata\tile_000007,D:\桌面\dac\512mdata\tile_000007\tile_000007.shp
tile_000008,Beijing,tile_000008,65446.940,0.249660,695,D:\桌面\dac\512mdata\tile_000008,D:\桌面\dac\512mdata\tile_000008\tile_000008.shp
tile_000009,Beijing,tile_000009,67805.518,0.258658,826,D:\桌面\dac\512mdata\tile_000009,D:\桌面\dac\512mdata\tile_000009\tile_000009.shp
tile_000010,Beijing,tile_000010,130751.608,0.498778,1541,D:\桌面\dac\512mdata\tile_000010,D:\桌面\dac\512mdata\tile_000010\tile_000010.shp
tile_000011,Beijing,tile_000011,65824.283,0.251100,440,D:\桌面\dac\512mdata\tile_000011,D:\桌面\dac\512mdata\tile_000011\tile_000011.shp
tile_000012,Beijing,tile_000012,83547.846,0.318710,955,D:\桌面\dac\512mdata\tile_000012,D:\桌面\dac\512mdata\tile_000012\tile_000012.shp
tile_000013,Beijing,tile_000013,87253.205,0.332845,902,D:\桌面\dac\512mdata\tile_000013,D:\桌面\dac\512mdata\tile_000013\tile_000013.shp
tile_000014,Beijing,tile_000014,67285.104,0.256672,445,D:\桌面\dac\512mdata\tile_000014,D:\桌面\dac\512mdata\tile_000014\tile_000014.shp
tile_000015,Beijing,tile_000015,90444.945,0.345020,1060,D:\桌面\dac\512mdata\tile_000015,D:\桌面\dac\512mdata\tile_000015\tile_000015.shp
tile_000016,Beijing,tile_000016,78869.478,0.300863,947,D:\桌面\dac\512mdata\tile_000016,D:\桌面\dac\512mdata\tile_000016\tile_000016.shp
tile_000017,Beijing,tile_000017,110603.279,0.421918,880,D:\桌面\dac\512mdata\tile_000017,D:\桌面\dac\512mdata\tile_000017\tile_000017.shp
tile_000018,Beijing,tile_000018,67081.631,0.255896,418,D:\桌面\dac\512mdata\tile_000018,D:\桌面\dac\512mdata\tile_000018\tile_000018.shp
tile_000019,Beijing,tile_000019,84181.682,0.321128,857,D:\桌面\dac\512mdata\tile_000019,D:\桌面\dac\512mdata\tile_000019\tile_000019.shp
tile_000020,Beijing,tile_000020,95603.146,0.364697,1223,D:\桌面\dac\512mdata\tile_000020,D:\桌面\dac\512mdata\tile_000020\tile_000020.shp
tile_000021,Beijing,tile_000022,76287.557,0.291014,564,D:\桌面\dac\512mdata\tile_000021,D:\桌面\dac\512mdata\tile_000021\tile_000021.shp
tile_000022,Beijing,tile_000023,58617.556,0.223608,410,D:\桌面\dac\512mdata\tile_000022,D:\桌面\dac\512mdata\tile_000022\tile_000022.shp
tile_000023,Beijing,tile_000025,85471.064,0.326046,968,D:\桌面\dac\512mdata\tile_000023,D:\桌面\dac\512mdata\tile_000023\tile_000023.shp
tile_000024,Beijing,tile_000026,94400.458,0.360109,1128,D:\桌面\dac\512mdata\tile_000024,D:\桌面\dac\512mdata\tile_000024\tile_000024.shp
tile_000025,Beijing,tile_000027,63370.473,0.241739,391,D:\桌面\dac\512mdata\tile_000025,D:\桌面\dac\512mdata\tile_000025\tile_000025.shp
tile_000026,Beijing,tile_000028,60495.563,0.230772,831,D:\桌面\dac\512mdata\tile_000026,D:\桌面\dac\512mdata\tile_000026\tile_000026.shp
tile_000027,Beijing,tile_000029,97207.927,0.370819,1184,D:\桌面\dac\512mdata\tile_000027,D:\桌面\dac\512mdata\tile_000027\tile_000027.shp
tile_000028,Beijing,tile_000030,64168.446,0.244783,373,D:\桌面\dac\512mdata\tile_000028,D:\桌面\dac\512mdata\tile_000028\tile_000028.shp
tile_000029,Beijing,tile_000031,83731.656,0.319411,505,D:\桌面\dac\512mdata\tile_000029,D:\桌面\dac\512mdata\tile_000029\tile_000029.shp
tile_000030,Beijing,tile_000032,63501.001,0.242237,385,D:\桌面\dac\512mdata\tile_000030,D:\桌面\dac\512mdata\tile_000030\tile_000030.shp
tile_000031,Beijing,tile_000033,94771.932,0.361526,133,D:\桌面\dac\512mdata\tile_000031,D:\桌面\dac\512mdata\tile_000031\tile_000031.shp
tile_000032,Beijing,tile_000034,83039.309,0.316770,801,D:\桌面\dac\512mdata\tile_000032,D:\桌面\dac\512mdata\tile_000032\tile_000032.shp
tile_000033,Beijing,tile_000035,55311.404,0.210996,739,D:\桌面\dac\512mdata\tile_000033,D:\桌面\dac\512mdata\tile_000033\tile_000033.shp
tile_000034,Beijing,tile_000036,100912.824,0.384952,732,D:\桌面\dac\512mdata\tile_000034,D:\桌面\dac\512mdata\tile_000034\tile_000034.shp
tile_000035,Beijing,tile_000037,66709.245,0.254476,146,D:\桌面\dac\512mdata\tile_000035,D:\桌面\dac\512mdata\tile_000035\tile_000035.shp
tile_000036,Beijing,tile_000038,59855.813,0.228332,117,D:\桌面\dac\512mdata\tile_000036,D:\桌面\dac\512mdata\tile_000036\tile_000036.shp
tile_000037,Beijing,tile_000039,60905.615,0.232336,118,D:\桌面\dac\512mdata\tile_000037,D:\桌面\dac\512mdata\tile_000037\tile_000037.shp
tile_000038,Beijing,tile_000040,119808.548,0.457033,1424,D:\桌面\dac\512mdata\tile_000038,D:\桌面\dac\512mdata\tile_000038\tile_000038.shp
tile_000039,Beijing,tile_000041,65958.263,0.251611,718,D:\桌面\dac\512mdata\tile_000039,D:\桌面\dac\512mdata\tile_000039\tile_000039.shp
tile_000040,Beijing,tile_000042,59430.882,0.226711,730,D:\桌面\dac\512mdata\tile_000040,D:\桌面\dac\512mdata\tile_000040\tile_000040.shp
tile_000041,Beijing,tile_000044,82269.766,0.313834,627,D:\桌面\dac\512mdata\tile_000041,D:\桌面\dac\512mdata\tile_000041\tile_000041.shp
tile_000042,Beijing,tile_000045,66853.461,0.255026,760,D:\桌面\dac\512mdata\tile_000042,D:\桌面\dac\512mdata\tile_000042\tile_000042.shp
tile_000043,Beijing,tile_000046,65735.655,0.250762,750,D:\桌面\dac\512mdata\tile_000043,D:\桌面\dac\512mdata\tile_000043\tile_000043.shp
tile_000044,Beijing,tile_000047,76159.817,0.290527,765,D:\桌面\dac\512mdata\tile_000044,D:\桌面\dac\512mdata\tile_000044\tile_000044.shp
tile_000045,Beijing,tile_000048,77771.738,0.296676,702,D:\桌面\dac\512mdata\tile_000045,D:\桌面\dac\512mdata\tile_000045\tile_000045.shp
tile_000046,Beijing,tile_000049,81948.956,0.312610,560,D:\桌面\dac\512mdata\tile_000046,D:\桌面\dac\512mdata\tile_000046\tile_000046.shp
tile_000047,Beijing,tile_000050,96321.791,0.367438,1091,D:\桌面\dac\512mdata\tile_000047,D:\桌面\dac\512mdata\tile_000047\tile_000047.shp
