tile,split,status,valid_gain_pixels,seconds,error
tile_000001,val,ok,12771,0.011,
tile_000002,train,ok,10776,0.009,
tile_000003,train,ok,11668,0.009,
tile_000004,train,ok,13115,0.009,
tile_000005,train,ok,12970,0.006,
tile_000006,train,ok,10270,0.006,
tile_000007,train,ok,11978,0.006,
tile_000008,train,ok,12331,0.006,
tile_000009,val,ok,12131,0.006,
tile_000010,val,ok,8290,0.007,
tile_000011,test,ok,12368,0.007,
tile_000012,train,ok,11160,0.006,
tile_000013,train,ok,10783,0.005,
tile_000014,val,ok,12090,0.007,
tile_000015,train,ok,10894,0.006,
tile_000016,train,ok,11561,0.006,
tile_000017,train,ok,9545,0.006,
tile_000018,train,ok,12207,0.006,
tile_000019,train,ok,11184,0.006,
tile_000020,train,ok,10384,0.007,
tile_000021,val,ok,11608,0.006,
tile_000022,test,ok,12723,0.006,
tile_000023,train,ok,11026,0.006,
tile_000024,train,ok,10550,0.005,
tile_000025,train,ok,12394,0.005,
tile_000026,train,ok,12685,0.005,
tile_000027,train,ok,10313,0.005,
tile_000028,train,ok,12407,0.005,
tile_000029,train,ok,11166,0.006,
tile_000030,train,ok,12432,0.005,
tile_000031,train,ok,10543,0.005,
tile_000032,train,ok,11209,0.005,
tile_000033,train,ok,12939,0.006,
tile_000034,train,ok,10191,0.006,
tile_000035,train,ok,12248,0.005,
tile_000036,train,ok,12667,0.005,
tile_000037,train,ok,12584,0.006,
tile_000038,train,ok,8960,0.006,
tile_000039,train,ok,12226,0.005,
tile_000040,train,ok,12713,0.006,
tile_000041,train,ok,11283,0.005,
tile_000042,train,ok,12235,0.005,
tile_000043,train,ok,12365,0.005,
tile_000044,train,ok,11681,0.005,
tile_000045,train,ok,11588,0.005,
tile_000046,train,ok,11271,0.005,
tile_000047,train,ok,10348,0.005,
tile_000048,train,ok,12138,0.005,
tile_000049,train,ok,11578,0.005,
tile_000050,train,ok,12756,0.005,
tile_000051,train,ok,12343,0.005,
tile_000052,test,ok,12361,0.006,
tile_000053,train,ok,11714,0.005,
tile_000054,train,ok,12553,0.006,
tile_000055,train,ok,11316,0.005,
tile_000056,train,ok,10160,0.005,
tile_000057,train,ok,9681,0.005,
