tile,status,rows,cols,missing_path_gain_cells,height_covered_cells,seconds,error
tile_000001,skipped,,,,,0.0,
tile_000002,skipped,,,,,0.0,
tile_000003,skipped,,,,,0.0,
tile_000004,skipped,,,,,0.0,
tile_000005,skipped,,,,,0.0,
tile_000006,skipped,,,,,0.0,
tile_000007,skipped,,,,,0.0,
tile_000008,skipped,,,,,0.0,
tile_000009,skipped,,,,,0.0,
tile_000010,skipped,,,,,0.0,
tile_000011,ok,128,128,4016,6143,1.066,
tile_000012,ok,128,128,5224,8550,1.077,
tile_000013,ok,128,128,5601,8838,0.766,
tile_000014,ok,128,128,4294,6675,0.736,
tile_000015,ok,128,128,5490,9079,0.799,
tile_000016,ok,128,128,4823,7953,0.785,
tile_000017,ok,128,128,6839,9814,0.783,
tile_000018,ok,128,128,4177,5997,0.74,
tile_000019,ok,128,128,5200,8327,0.767,
tile_000020,ok,128,128,6000,9472,0.776,
tile_000021,ok,128,128,4776,6489,0.762,
tile_000022,ok,128,128,3661,5916,0.72,
tile_000023,ok,128,128,5358,8550,0.137,
tile_000024,ok,128,128,5834,9686,0.151,
tile_000025,ok,128,128,3990,6094,0.1,
tile_000026,ok,128,128,3699,5546,0.148,
tile_000027,ok,128,128,6071,9840,0.176,
tile_000028,ok,128,128,3977,5646,0.082,
tile_000029,ok,128,128,5218,7429,0.091,
tile_000030,ok,128,128,3952,6256,0.072,
tile_000031,ok,128,128,5841,6854,0.061,
tile_000032,ok,128,128,5175,8015,0.128,
tile_000033,ok,128,128,3445,5408,0.138,
tile_000034,ok,128,128,6193,9711,0.118,
tile_000035,ok,128,128,4136,5304,0.079,
tile_000036,ok,128,128,3717,4753,0.074,
tile_000037,ok,128,128,3800,4561,0.054,
tile_000038,ok,128,128,7424,11713,0.192,
tile_000039,ok,128,128,4158,6679,0.124,
tile_000040,ok,128,128,3671,6047,0.096,
tile_000041,ok,128,128,5101,7742,0.101,
tile_000042,ok,128,128,4149,6813,0.096,
tile_000043,ok,128,128,4019,6379,0.109,
tile_000044,ok,128,128,4703,7289,0.109,
tile_000045,ok,128,128,4796,7391,0.11,
tile_000046,ok,128,128,5113,7888,0.094,
tile_000047,ok,128,128,6036,9472,0.169,
tile_000048,ok,128,128,4246,6608,0.15,
tile_000049,ok,128,128,4806,7643,0.138,
tile_000050,ok,128,128,3628,5952,0.101,
tile_000051,ok,128,128,4041,6491,0.138,
tile_000052,ok,128,128,4023,5650,0.126,
tile_000053,ok,128,128,4670,7615,0.113,
tile_000054,ok,128,128,3831,6079,0.106,
tile_000055,ok,128,128,5068,7995,0.117,
tile_000056,ok,128,128,6224,8575,0.099,
tile_000057,ok,128,128,6703,9276,0.123,
tile_000058,ok,128,128,4390,6805,0.097,
tile_000059,ok,128,128,5602,8992,0.135,
tile_000060,ok,128,128,3518,4690,0.063,
tile_000061,ok,128,128,5096,8276,0.14,
tile_000062,ok,128,128,3593,5702,0.069,
tile_000063,ok,128,128,3455,5415,0.068,
tile_000064,ok,128,128,3742,5151,0.086,
tile_000065,ok,128,128,3499,5311,0.085,
