split,split_index,old_tile,new_tile,old_xmin,old_ymin,new_xmin,new_ymin,new_block_x,new_block_y,stage1_inputs
train,8,tile_009521,tile_002865,-220124.42,2326016.0,461312.0,4448256.0,225,2172,ok
train,9,tile_009838,tile_016158,-138240.0,2390016.0,216576.0,2526720.0,105,1233,ok
train,13,tile_013278,tile_022654,-37376.0,2508800.0,445952.0,2572800.0,217,1256,ok
train,26,tile_009825,tile_018297,-133632.0,2388992.0,90624.0,2544128.0,44,1242,ok
train,33,tile_023398,tile_012967,-35840.0,2580995.523,116224.0,2506240.0,56,1223,ok
train,38,tile_009449,tile_003703,-248194.235,2289664.0,961536.0,3426816.0,469,1673,ok
train,45,tile_010408,tile_027093,-11264.0,2432000.0,409600.0,2715648.0,200,1326,ok
train,52,tile_009727,tile_003312,-145408.0,2380288.0,477184.0,4475904.0,233,2185,ok
train,102,tile_010656,tile_009166,-43008.0,2457088.0,495104.0,4388864.0,241,2143,ok
train,103,tile_009631,tile_002921,-203264.0,2346008.263,452096.0,4449792.0,220,2172,ok
train,110,tile_010511,tile_024232,-149504.0,2442752.0,83977.98,2588672.0,41,1264,ok
train,114,tile_015787,tile_006830,-37888.0,2524672.0,479232.0,4306432.0,234,2102,ok
train,118,tile_009804,tile_004228,-115130.347,2385422.454,952331.518,3444238.977,465,1681,ok
train,129,tile_016256,tile_021392,-55296.0,2527744.0,103936.0,2563072.0,50,1251,ok
train,152,tile_009880,tile_001247,-136704.0,2395648.0,460800.0,4416512.0,225,2156,ok
train,155,tile_009836,tile_006648,-90624.0,2389504.0,486400.0,4289024.0,237,2094,ok
train,161,tile_010066,tile_000998,-103936.0,2409984.0,482304.0,4412928.0,235,2154,ok
train,183,tile_009447,tile_024066,-247808.0,2289152.0,121856.0,2587136.0,59,1263,ok
train,185,tile_009542,tile_016184,-224256.0,2327552.0,100864.0,2527232.0,49,1234,ok
train,198,tile_022094,tile_007273,-35840.0,2568704.0,552448.0,4319232.0,269,2109,ok
train,199,tile_009599,tile_012503,-244224.0,2336768.0,205312.0,2502144.0,100,1221,ok
train,206,tile_016935,tile_025665,-15360.0,2534400.0,481792.0,2605056.0,235,1272,ok
train,219,tile_010322,tile_011378,-23040.0,2428928.0,98304.0,2491392.0,48,1216,ok
train,224,tile_010823,tile_005484,-36864.0,2462720.0,923648.0,3466752.0,451,1692,ok
train,229,tile_009498,tile_002707,-245760.0,2320896.0,503808.0,4443657.512,246,2169,ok
train,232,tile_023310,tile_016613,-62464.0,2579968.0,87552.0,2530816.0,42,1235,ok
train,233,tile_009731,tile_018934,-146432.0,2380800.0,133120.0,2548224.0,65,1244,ok
train,237,tile_010558,tile_009257,-101888.0,2448384.0,533504.0,4417024.0,260,2156,ok
train,241,tile_010150,tile_024181,-20480.0,2423296.0,122880.0,2588160.0,60,1263,ok
train,242,tile_009837,tile_027354,-82944.0,2389504.0,257536.0,2796032.0,125,1365,ok
train,255,tile_009813,tile_006833,-99328.0,2387456.0,532480.0,4306485.222,260,2102,ok
train,265,tile_009656,tile_017681,-211456.0,2358272.0,331846.632,2539671.089,162,1240,ok
train,299,tile_010856,tile_000446,-154112.0,2464787.487,471051.171,4399105.754,230,2148,ok
train,317,tile_009779,tile_014542,-152064.0,2383872.0,96256.0,2516992.0,47,1229,ok
train,319,tile_009917,tile_011002,-110080.0,2403328.0,103431.995,2472960.0,50,1207,ok
train,320,tile_009619,tile_027224,-205312.0,2342917.699,154624.0,2750464.0,75,1343,ok
train,331,tile_016110,tile_018515,-58856.615,2526728.946,188928.0,2545152.0,92,1242,ok
train,338,tile_011057,tile_006225,-109056.0,2476544.0,896512.0,3476992.0,437,1697,ok
train,339,tile_021865,tile_007264,-31232.0,2566656.0,542208.0,4319232.0,264,2109,ok
train,347,tile_010892,tile_024234,-147968.0,2466816.0,103424.0,2588672.0,50,1264,ok
train,356,tile_010095,tile_012510,-57856.0,2417152.0,96768.0,2502656.0,47,1222,ok
train,359,tile_009591,tile_019828,-224768.0,2334208.0,79360.0,2554368.0,38,1247,ok
train,373,tile_009719,tile_008868,-149504.0,2379776.0,501760.0,4368402.5,245,2133,ok
train,386,tile_009754,tile_018145,-144896.0,2382336.0,123392.0,2543104.0,60,1241,ok
train,395,tile_010525,tile_010798,-14336.0,2444800.0,143872.0,2461696.0,70,1202,ok
train,451,tile_010069,tile_015277,-133120.0,2410496.0,336384.0,2521088.0,164,1231,ok
train,459,tile_009448,tile_011214,-187392.0,2289152.0,94720.0,2487296.0,46,1214,ok
train,465,tile_023576,tile_008645,-18432.0,2583040.0,542208.0,4352512.0,264,2125,ok
train,466,tile_009454,tile_017258,-184320.0,2293760.0,188416.0,2536960.0,92,1238,ok
train,475,tile_016741,tile_025931,-7078.853,2532352.0,458240.0,2611712.0,223,1275,ok
train,477,tile_023359,tile_000407,-33759.155,2580480.0,410112.0,4397056.0,200,2147,ok
train,489,tile_023529,tile_012953,-46592.0,2582528.0,101376.0,2506240.0,49,1223,ok
train,504,tile_009761,tile_025031,-231424.0,2382848.0,471552.0,2596864.0,230,1268,ok
train,523,tile_018896,tile_018428,-10240.0,2548224.0,174127.825,2544640.0,85,1242,ok
train,526,tile_009881,tile_024851,-128512.0,2395648.0,468480.0,2594816.0,228,1267,ok
train,538,tile_011304,tile_002079,-22528.0,2489856.0,451584.0,4430336.0,220,2163,ok
