tile,split,split_index,block_x,block_y,block_round
tile_018241,train,0,65,1242,0
tile_027078,train,1,173,1324,0
tile_004311,train,2,460,1683,0
tile_023218,train,3,202,1259,0
tile_009123,train,4,241,2141,0
tile_003456,train,5,442,1666,0
tile_014919,train,6,101,1230,0
tile_005699,train,7,441,1694,0
tile_009521,train,8,-108,1135,0
tile_009838,train,9,-68,1167,0
tile_018522,train,10,104,1242,0
tile_016462,train,11,46,1235,0
tile_019711,train,12,61,1246,0
tile_013278,train,13,-19,1225,0
tile_026990,train,14,180,1314,0
tile_009255,train,15,250,2156,0
tile_005012,train,16,447,1690,0
tile_017347,train,17,92,1239,0
tile_026066,train,18,182,1277,0
tile_010860,train,19,56,1203,0
tile_008366,train,20,254,2120,0
tile_021762,train,21,80,1252,0
tile_026356,train,22,130,1283,0
tile_012450,train,23,66,1221,0
tile_017465,train,24,6,1239,0
tile_024812,train,25,231,1266,0
tile_009825,train,26,-66,1166,0
tile_007075,train,27,258,2106,0
tile_006528,train,28,448,1702,0
tile_022571,train,29,206,1256,0
tile_008553,train,30,273,2123,0
tile_001950,train,31,227,2161,0
tile_009308,train,32,260,2161,0
tile_023398,train,33,-18,1260,0
tile_003037,train,34,223,2174,0
tile_024890,train,35,210,1267,0
tile_003203,train,36,231,2181,0
tile_022842,train,37,215,1257,0
tile_009449,train,38,-122,1118,0
tile_004013,train,39,468,1678,0
tile_004204,train,40,463,1681,0
tile_014587,train,41,93,1229,0
tile_014948,train,42,10,1230,0
tile_012695,train,43,48,1222,0
tile_000002,train,44,215,2133,0
tile_010408,train,45,-6,1187,0
tile_003814,train,46,442,1675,0
tile_002175,train,47,227,2164,0
tile_012472,train,48,56,1221,0
tile_019510,train,49,38,1246,0
tile_003082,train,50,228,2176,0
tile_026030,train,51,243,1276,0
tile_009727,train,52,-71,1162,0
tile_009227,train,53,255,2149,0
tile_008191,train,54,247,2117,0
tile_026981,train,55,173,1314,0
tile_009409,train,56,269,2167,0
tile_001056,train,57,190,2155,0
tile_009116,train,58,237,2140,0
tile_018941,train,59,86,1244,0
tile_015977,train,60,79,1233,0
tile_022542,train,61,51,1256,0
tile_026827,train,62,193,1311,0
tile_001894,train,63,220,2161,0
tile_025967,train,64,208,1275,0
tile_006756,train,65,264,2099,0
tile_000306,train,66,212,2144,0
tile_026739,train,67,91,1306,0
tile_012782,train,68,97,1223,0
tile_026888,train,69,200,1311,0
tile_000223,train,70,200,2142,0
tile_021766,train,71,93,1252,0
tile_007504,train,72,250,2111,0
tile_019404,train,73,65,1245,0
tile_017611,train,74,169,1239,0
tile_006506,train,75,438,1702,0
tile_022593,train,76,232,1256,0
tile_020378,train,77,123,1248,0
tile_025293,train,78,41,1269,0
tile_027007,train,79,229,1315,0
tile_021912,train,80,99,1253,0
tile_000239,train,81,213,2142,0
tile_027001,train,82,68,1315,0
tile_019434,train,83,36,1246,0
tile_011432,train,84,34,1217,0
tile_008173,train,85,239,2117,0
tile_024712,train,86,218,1266,0
tile_006191,train,87,446,1697,0
tile_021925,train,88,223,1253,0
tile_025289,train,89,234,1269,0
tile_006813,train,90,256,2102,0
tile_019335,train,91,96,1245,0
tile_026960,train,92,79,1313,0
tile_025096,train,93,28,1268,0
tile_017173,train,94,54,1238,0
tile_000734,train,95,214,2152,0
tile_014082,train,96,112,1227,0
tile_016999,train,97,40,1237,0
tile_023515,train,98,63,1260,0
tile_026804,train,99,78,1310,0
tile_019556,train,100,64,1246,0
tile_019736,train,101,1,1247,0
tile_010656,train,102,-21,1199,0
tile_009631,train,103,-100,1145,0
tile_011265,train,104,42,1215,0
tile_020080,train,105,43,1248,0
tile_024215,train,106,232,1263,0
tile_008177,train,107,250,2117,0
tile_026486,train,108,133,1287,0
tile_025602,train,109,2,1271,0
tile_010511,train,110,-73,1192,0
tile_017276,train,111,166,1238,0
tile_001951,train,112,228,2161,0
tile_017355,train,113,97,1239,0
tile_015787,train,114,-19,1232,0
tile_012357,train,115,117,1221,0
tile_005912,train,116,452,1695,0
tile_004727,train,117,447,1687,0
tile_009804,train,118,-57,1164,0
tile_004090,train,119,442,1679,0
tile_005460,train,120,435,1692,0
tile_003685,train,121,441,1673,0
tile_012355,train,122,106,1221,0
tile_006202,train,123,457,1697,0
tile_014006,train,124,105,1227,0
tile_002011,train,125,215,2162,0
tile_010983,train,126,57,1206,0
tile_002202,train,127,215,2164,0
tile_027054,train,128,0,1322,0
tile_016256,train,129,-27,1234,0
tile_008910,train,130,265,2134,0
tile_026764,train,131,64,1308,0
tile_007340,train,132,270,2109,0
tile_014081,train,133,111,1227,0
tile_016301,train,134,103,1234,0
tile_018599,train,135,92,1243,0
tile_007840,train,136,258,2113,0
tile_008595,train,137,250,2124,0
tile_020370,train,138,81,1248,0
tile_018108,train,139,172,1241,0
tile_015463,train,140,58,1231,0
tile_023334,train,141,57,1259,0
tile_024228,train,142,39,1264,0
tile_018328,train,143,60,1242,0
tile_002415,train,144,210,2167,0
tile_007106,train,145,261,2107,0
tile_019613,train,146,52,1246,0
tile_025404,train,147,58,1270,0
tile_009251,train,148,251,2156,0
tile_018033,train,149,191,1241,0
tile_004636,train,150,465,1687,0
tile_026971,train,151,178,1313,0
tile_009880,train,152,-67,1169,0
tile_001209,train,153,212,2156,0
tile_006283,train,154,436,1698,0
tile_009836,train,155,-45,1166,0
tile_009194,train,156,253,2145,0
tile_005155,train,157,445,1691,0
tile_026686,train,158,6,1303,0
tile_026455,train,159,217,1285,0
tile_014196,train,160,62,1228,0
tile_010066,train,161,-51,1176,0
tile_002718,train,162,226,2170,0
tile_008184,train,163,253,2117,0
tile_022646,train,164,209,1256,0
tile_013219,train,165,36,1224,0
