tile,variants,elapsed_seconds,iso_valid_pixels,directional_valid_pixels_min,directional_valid_pixels_max,mask_mismatch_vs_iso_max,directional_gain_max_db,directional_gain_99pct_max_db,resampled_variants,maximum_resampling_offset_m,minimum_db,maximum_db,compact_bytes
tile_000001,iso az113 az195 az216 az283,88.225,12767,12764,12766,3,15.375000,5.125000,0,0.000000,-198.375000,-78.062500,96555
tile_000002,iso az072 az153 az338 az356,115.053,10768,10765,10767,3,15.812500,5.250000,0,0.000000,-198.375000,-78.562500,90386
tile_000003,iso az011 az061 az293 az325,1.304,9906,9905,9906,1,12.500000,5.125000,5,0.538000,-188.750000,-78.187500,82898
tile_000004,iso az039 az059 az160 az318,127.546,11925,11925,11925,0,7.062500,6.125000,5,0.925000,-175.625000,-87.625000,80554
tile_000005,iso az014 az046 az129 az175,163.459,12970,12969,12970,1,21.437500,5.312500,0,0.000000,-191.625000,-79.000000,98888
tile_000006,iso az017 az212 az249 az254,108.481,10259,10249,10254,10,12.062500,4.686250,0,0.000000,-199.875000,-78.500000,84753
tile_000007,iso az042 az044 az106 az218,223.515,11971,11962,11969,9,21.625000,5.812500,0,0.000000,-199.250000,-78.187500,88336
tile_000008,iso az080 az228 az311 az345,119.657,12330,12329,12330,1,13.187500,6.062500,0,0.000000,-196.000000,-84.812500,86152
tile_000009,iso az004 az159 az175 az250,92.891,12128,12127,12128,1,17.687500,5.562500,0,0.000000,-199.750000,-81.500000,90669
tile_000010,iso az090 az179 az190 az218,165.161,8280,8271,8278,9,16.625000,5.562500,0,0.000000,-199.875000,-77.312500,76562
tile_000011,iso az019 az080 az335 az355,539.656,12364,12358,12359,6,9.375000,5.500000,0,0.000000,-197.875000,-77.812500,90013
tile_000012,iso az131 az201 az282 az307,113.591,9420,9412,9418,8,14.187500,5.500000,5,0.825000,-194.000000,-81.687500,77118
tile_000013,iso az027 az124 az126 az199,135.977,9144,9138,9140,6,13.250000,5.288125,5,0.145000,-192.875000,-78.000000,78505
tile_000014,iso az032 az097 az098 az340,56.832,12088,12075,12080,13,15.500000,6.000000,0,0.000000,-199.375000,-84.687500,83954
tile_000015,iso az070 az107 az169 az172,145.063,9448,9448,9448,0,20.437500,5.250000,5,0.076000,-190.000000,-79.250000,76732
tile_000016,iso az087 az195 az201 az203,93.592,11558,11555,11556,3,14.375000,4.937500,0,0.000000,-198.500000,-80.437500,87444
tile_000017,iso az110 az137 az209 az335,371.014,9542,9541,9542,1,13.187500,5.812500,0,0.000000,-198.375000,-79.250000,77572
tile_000018,iso az046 az101 az216 az295,230.785,12207,12207,12207,0,11.000000,5.683750,0,0.000000,-180.250000,-79.250000,84640
tile_000019,iso az187 az189 az293 az308,76.710,11177,11169,11171,8,11.000000,5.081250,0,0.000000,-199.000000,-82.562500,87625
tile_000020,iso az129 az244 az314 az323,125.321,8928,8927,8927,1,15.000000,5.937500,5,0.495000,-177.250000,-83.250000,74709
tile_000021,iso az221 az285 az348 az357,252.174,11608,11607,11608,1,15.875000,5.250000,0,0.000000,-185.250000,-77.437500,81940
tile_000022,iso az019 az128 az207 az274,174.949,12723,12723,12723,0,10.625000,5.437500,0,0.000000,-179.625000,-77.625000,91283
tile_000023,iso az006 az087 az229 az304,121.635,11024,11022,11024,2,13.625000,5.812500,0,0.000000,-198.125000,-79.875000,90293
tile_000024,iso az136 az196 az239 az249,146.150,8288,8285,8285,3,12.625000,5.447500,5,0.101000,-189.875000,-79.187500,74763
tile_000025,iso az011 az028 az303 az322,110.628,10336,10336,10336,0,7.687500,5.562500,5,0.256000,-173.875000,-80.312500,72320
tile_000026,iso az030 az177 az191 az248,116.750,12685,12684,12685,1,10.500000,4.562500,0,0.000000,-191.625000,-89.125000,75938
tile_000027,iso az221 az243 az281 az309,108.167,10286,10269,10278,17,19.312500,5.750000,0,0.000000,-199.375000,-78.750000,87383
tile_000028,iso az100 az185 az208 az306,216.019,11638,11638,11638,0,6.312500,5.601875,5,0.911000,-170.750000,-77.812500,78776
tile_000029,iso az207 az288 az301 az351,142.412,9978,9978,9978,0,6.375000,5.000000,5,0.986000,-169.500000,-79.312500,75190
tile_000030,iso az108 az255 az262 az301,104.585,12432,12431,12432,1,13.875000,5.500000,0,0.000000,-193.500000,-88.437500,80324
tile_000031,iso az133 az180 az235 az254,44.756,10542,10542,10542,0,10.812500,5.750000,0,0.000000,-196.125000,-79.312500,69866
tile_000032,iso az013 az170 az176 az230,112.227,9615,9607,9612,8,14.937500,5.750000,5,0.697000,-190.375000,-81.687500,79955
