osm_id,osm_type,name,building,height,height_m,building:levels,estimated_height,height_source,height_note,category,centroid_lat,centroid_lon,geometry_status,tags,geometry
188600671,way,图书馆,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.950709726872034,116.3373177144966,ok,"{""amenity"": ""library"", ""building"": ""yes"", ""name"": ""图书馆"", ""name:zh"": ""图书馆"", ""name:zh-Hans"": ""图书馆"", ""name:zh-Hant"": ""图书馆""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3369697, 39.9506909], [116.3369858, 39.9505799], [116.3373613, 39.9504195], [116.3374472, 39.9504319], [116.3374941, 39.9504931], [116.3375759, 39.9504606], [116.3376872, 39.9504808], [116.3377476, 39.950547], [116.3377194, 39.9506329], [116.3376242, 39.9506786], [116.3376872, 39.9507275], [116.3376604, 39.9508303], [116.337592, 39.9508678], [116.3375169, 39.9508636], [116.3374136, 39.9509085], [116.3373828, 39.9509665], [116.337313, 39.9510035], [116.3372004, 39.950987], [116.3371467, 39.9509377], [116.3370877, 39.9509706], [116.336959, 39.9509541], [116.3369, 39.9508801], [116.3369214, 39.9507814], [116.3370234, 39.9507526], [116.3369697, 39.9506909]]]}"
276198909,way,思源东楼,school,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.950217249999994,116.33565975,ok,"{""building"": ""school"", ""name"": ""思源东楼"", ""name:zh"": ""思源东楼"", ""name:zh-Hans"": ""思源东楼"", ""name:zh-Hant"": ""思源東樓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3353249, 39.9500458], [116.3360552, 39.9501589], [116.3359946, 39.9503887], [116.3352643, 39.9502756], [116.3353249, 39.9500458]]]}"
276199032,way,科学会堂,school,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.95050945310306,116.33563082077102,ok,"{""building"": ""school"", ""name"": ""科学会堂"", ""name:zh"": ""科学会堂"", ""name:zh-Hans"": ""科学会堂"", ""name:zh-Hant"": ""科學會堂""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3353294, 39.9505839], [116.3354054, 39.950339], [116.3359322, 39.950435], [116.3358563, 39.9506799], [116.3353294, 39.9505839]]]}"
276200624,way,15号学生公寓,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94970295,116.33288399999999,ok,"{""building"": ""apartments"", ""name"": ""15号学生公寓"", ""name:zh"": ""15号学生公寓"", ""name:zh-Hans"": ""15号学生公寓"", ""name:zh-Hant"": ""15號學生公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3324991, 39.9496997], [116.3325419, 39.9495678], [116.3332689, 39.9497062], [116.3332261, 39.9498381], [116.3324991, 39.9496997]]]}"
276200628,way,9号公寓,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94953759999161,116.33290743331254,ok,"{""building"": ""apartments"", ""name"": ""9号公寓"", ""name:zh"": ""9号公寓"", ""name:zh-Hans"": ""9号公寓"", ""name:zh-Hant"": ""9號公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3325104, 39.9495378], [116.332556, 39.9493959], [116.3333045, 39.9495374], [116.3332588, 39.9496793], [116.3325104, 39.9495378]]]}"
276201135,way,8号公寓,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94917774995601,116.33298763321449,ok,"{""building"": ""apartments"", ""name"": ""8号公寓"", ""name:zh"": ""8号公寓"", ""name:zh-Hans"": ""8号公寓"", ""name:zh-Hant"": ""8號公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3325927, 39.9491788], [116.3326319, 39.9490461], [116.3333826, 39.9491767], [116.3333433, 39.9493094], [116.3325927, 39.9491788]]]}"
276201139,way,2号学生公寓,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.948003983149,116.33432779564741,ok,"{""building"": ""apartments"", ""building:flats"": ""5"", ""name"": ""2号学生公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3338863, 39.9479635], [116.3339157, 39.9478609], [116.3347801, 39.9480063], [116.3347398, 39.9481471], [116.3338754, 39.9480016], [116.3338863, 39.9479635]]]}"
276202112,way,东阶梯教室,school,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.949379766963396,116.3365366713528,ok,"{""building"": ""school"", ""name"": ""东阶梯教室"", ""name:zh"": ""东阶梯教室"", ""name:zh-Hans"": ""东阶梯教室"", ""name:zh-Hant"": ""東階梯教室""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3363678, 39.9494076], [116.3364119, 39.9492745], [116.3367069, 39.9493252], [116.3366766, 39.9494647], [116.336627, 39.9494774], [116.3364008, 39.9494457], [116.3363678, 39.9494076]]]}"
276202117,way,留园公寓,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94889775,116.33748179999999,ok,"{""building"": ""apartments"", ""name"": ""留园公寓"", ""name:zh"": ""留园公寓"", ""name:zh-Hans"": ""留园公寓"", ""name:zh-Hant"": ""留園公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.337099, 39.9489034], [116.3371345, 39.9487742], [116.3378646, 39.9488921], [116.3378291, 39.9490213], [116.337099, 39.9489034]]]}"
287661510,way,一号宿舍楼,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94947779999999,116.33732879999998,ok,"{""building"": ""apartments"", ""name"": ""一号宿舍楼"", ""name:zh"": ""一号宿舍楼"", ""name:zh-Hans"": ""一号宿舍楼"", ""name:zh-Hant"": ""一號宿舍樓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3369573, 39.9494991], [116.3369962, 39.9493492], [116.3377003, 39.9494565], [116.3376614, 39.9496064], [116.3369573, 39.9494991]]]}"
287662019,way,22号学生公寓,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.948372155473756,116.33222438431166,ok,"{""building"": ""yes"", ""name"": ""22号学生公寓"", ""name:zh"": ""22号学生公寓"", ""name:zh-Hans"": ""22号学生公寓"", ""name:zh-Hant"": ""22號學生公寓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3317991, 39.9487035], [116.3318579, 39.9484869], [116.332088, 39.9483192], [116.332603, 39.9480872], [116.3326665, 39.9481616], [116.3326665, 39.9482415], [116.332307, 39.9484128], [116.332148, 39.9484885], [116.332025, 39.9485514], [116.3319464, 39.9486215], [116.331897, 39.9487217], [116.3317991, 39.9487035]]]}"
287662861,way,20号宿舍楼,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.9487253178278,116.33225360573209,ok,"{""building"": ""yes"", ""name"": ""20号宿舍楼"", ""name:zh"": ""20号宿舍楼"", ""name:zh-Hans"": ""20号宿舍楼"", ""name:zh-Hant"": ""20號宿舍樓""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3320569, 39.9486148], [116.3324952, 39.9486997], [116.3324503, 39.9488358], [116.3320121, 39.948751], [116.3320569, 39.9486148]]]}"
287662943,way,主席台,house,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.95096406658259,116.33108134182288,ok,"{""building"": ""house"", ""name"": ""主席台"", ""name:zh"": ""主席台"", ""name:zh-Hans"": ""主席台"", ""name:zh-Hant"": ""主席台""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3308524, 39.9515463], [116.3311891, 39.9503621], [116.3313103, 39.9503823], [116.3309733, 39.9515665], [116.3308524, 39.9515463]]]}"
468435300,way,未命名建筑_468435300,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.948993449999996,116.33893510000001,ok,"{""building"": ""yes""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3386681, 39.949048], [116.3391566, 39.94912], [116.3392021, 39.9489389], [116.3387136, 39.9488669], [116.3386681, 39.949048]]]}"
468435307,way,未命名建筑_468435307,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.949290609174156,116.34072575358947,ok,"{""building"": ""apartments"", ""building:flats"": ""2""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3404342, 39.9492616], [116.3405845, 39.9492921], [116.3405649, 39.949349], [116.3409353, 39.9494241], [116.34099, 39.9492657], [116.3404692, 39.9491602], [116.3404342, 39.9492616]]]}"
468435308,way,未命名建筑_468435308,apartments,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.949539182401026,116.34178608754185,ok,"{""building"": ""apartments""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3415941, 39.9496295], [116.3419095, 39.94968], [116.3419801, 39.9494635], [116.3419283, 39.9494274], [116.3418201, 39.9494599], [116.3417589, 39.9493986], [116.3416883, 39.9493769], [116.3416506, 39.9494455], [116.3415941, 39.9496295]]]}"
468435310,way,未命名建筑_468435310,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.94990559484938,116.34090827246155,ok,"{""building"": ""yes""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3407422, 39.9501022], [116.340954, 39.9501491], [116.3410905, 39.9497305], [116.3408411, 39.9496656], [116.3407422, 39.9501022]]]}"
468435313,way,未命名建筑_468435313,yes,,,,,missing,缺少高度和楼层数信息,missing_height_and_levels,39.95050723775549,116.34139138733822,ok,"{""building"": ""yes""}","{""type"": ""Polygon"", ""coordinates"": [[[116.3409776, 39.9505604], [116.3414906, 39.9506398], [116.3415141, 39.950564], [116.3416694, 39.9505748], [116.3417212, 39.9503403], [116.3415894, 39.9503114], [116.3415141, 39.9505099], [116.3410105, 39.9504486], [116.3409776, 39.9505604]]]}"
