"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20260831 22:44:55.192","","","NONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260831 22:44:56.794","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-9","2.4","","","","","","","","","","","","","","","",""
"20260831 22:44:58.075","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-9","2.4","","","","","","","","","","","","","","","",""
"20260831 22:44:59.115","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-9","3.6","","","","","","","","","","","","","","","",""
"20260831 22:45:00.155","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-9","3.6","","","","","","","","","","","","","","","",""
"20260831 22:45:01.207","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-11","3.6","","","","","","","","","","","","","","","",""
"20260831 22:45:02.259","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-86","-12","10.8","","","","","","","","","","","","","","","",""
"20260831 22:45:03.626","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-11","10.8","","","","","","","","","","","","","","","",""
"20260831 22:45:04.669","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-11","10.8","","","","","","","","","","","","","","","",""
"20260831 22:45:05.716","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-11","10.8","","","","","","","","","","","","","","","",""
"20260831 22:45:06.777","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-12","6.8","","","","","","","","","","","","","","","",""
"20260831 22:45:07.853","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-11","6.8","","","","","","","","","","","","","","","",""
"20260831 22:45:08.923","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-11","6.8","","","","","","","","","","","","","","","",""
"20260831 22:45:09.991","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-86","-9","6.8","","","","","","","","","","","","","","","",""
