tile,split,block_x,block_y,center_x,center_y,source_dir
tile_000001,val,217,2132,445184.000,4368140.000,D:\桌面\dac\prepared_4m\tile_000001
tile_000002,train,215,2133,442112.000,4368640.000,D:\桌面\dac\prepared_4m\tile_000002
tile_000003,train,216,2133,443136.000,4369176.538,D:\桌面\dac\prepared_4m\tile_000003
tile_000004,train,216,2133,443648.000,4370365.925,D:\桌面\dac\prepared_4m\tile_000004
tile_000005,train,216,2133,444160.000,4370176.000,D:\桌面\dac\prepared_4m\tile_000005
tile_000006,train,214,2134,440064.000,4371712.000,D:\桌面\dac\prepared_4m\tile_000006
tile_000007,train,214,2134,440064.000,4372224.000,D:\桌面\dac\prepared_4m\tile_000007
tile_000008,train,215,2134,440576.000,4372224.000,D:\桌面\dac\prepared_4m\tile_000008
tile_000009,val,216,2134,444160.000,4372224.000,D:\桌面\dac\prepared_4m\tile_000009
tile_000010,val,213,2135,438016.000,4373248.000,D:\桌面\dac\prepared_4m\tile_000010
tile_000011,test,214,2135,438528.000,4373248.000,D:\桌面\dac\prepared_4m\tile_000011
tile_000012,train,216,2135,442624.000,4373253.825,D:\桌面\dac\prepared_4m\tile_000012
tile_000013,train,216,2135,443136.000,4373250.145,D:\桌面\dac\prepared_4m\tile_000013
tile_000014,val,213,2135,438016.000,4373760.000,D:\桌面\dac\prepared_4m\tile_000014
tile_000015,train,216,2135,442634.076,4373760.000,D:\桌面\dac\prepared_4m\tile_000015
tile_000016,train,216,2135,443136.000,4373760.000,D:\桌面\dac\prepared_4m\tile_000016
tile_000017,train,212,2135,435456.000,4374272.000,D:\桌面\dac\prepared_4m\tile_000017
tile_000018,train,212,2135,435968.000,4374272.000,D:\桌面\dac\prepared_4m\tile_000018
tile_000019,train,213,2136,437504.000,4374784.000,D:\桌面\dac\prepared_4m\tile_000019
tile_000020,train,214,2136,438569.495,4374784.000,D:\桌面\dac\prepared_4m\tile_000020
tile_000021,val,191,2136,392960.000,4376320.000,D:\桌面\dac\prepared_4m\tile_000021
tile_000022,test,193,2136,396032.000,4376320.000,D:\桌面\dac\prepared_4m\tile_000022
tile_000023,train,215,2136,440576.000,4376320.000,D:\桌面\dac\prepared_4m\tile_000023
tile_000024,train,220,2136,451840.000,4376324.101,D:\桌面\dac\prepared_4m\tile_000024
tile_000025,train,192,2137,394539.256,4376945.060,D:\桌面\dac\prepared_4m\tile_000025
tile_000026,train,215,2137,441088.000,4376832.000,D:\桌面\dac\prepared_4m\tile_000026
tile_000027,train,221,2137,453376.000,4376832.000,D:\桌面\dac\prepared_4m\tile_000027
tile_000028,train,191,2137,391499.911,4377344.000,D:\桌面\dac\prepared_4m\tile_000028
tile_000029,train,192,2137,393472.000,4377372.986,D:\桌面\dac\prepared_4m\tile_000029
tile_000030,train,192,2137,395008.000,4377344.000,D:\桌面\dac\prepared_4m\tile_000030
tile_000031,train,215,2137,441600.000,4377344.000,D:\桌面\dac\prepared_4m\tile_000031
tile_000032,train,216,2137,443136.000,4377381.697,D:\桌面\dac\prepared_4m\tile_000032
tile_000033,train,216,2137,443648.000,4377344.000,D:\桌面\dac\prepared_4m\tile_000033
tile_000034,train,193,2137,395520.000,4377856.000,D:\桌面\dac\prepared_4m\tile_000034
tile_000035,train,214,2137,440064.000,4378009.856,D:\桌面\dac\prepared_4m\tile_000035
