site_id,tile,tile_number,split,split_index,site_index,quadrant,tx_x_m,tx_y_m,tx_row_px,tx_col_px,tx_height_m,effective_power_db,azimuth_0_deg,azimuth_1_deg,azimuth_2_deg,azimuth_3_deg,sample_path
tile_000002_site00,tile_000002,2,train,0,0,southwest,188.616023897,122.782266500,96.804433375,46.654005974,26.000000,53.823566003,3,220,294,314,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000002_site00.npz
tile_000002_site01,tile_000002,2,train,0,1,southeast,382.299679050,249.541610129,65.114597468,95.074919763,26.000000,36.591512020,12,80,210,342,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000002_site01.npz
tile_000002_site02,tile_000002,2,train,0,2,northwest,109.378279437,347.330318531,40.667420367,26.844569859,26.000000,42.837683113,20,32,85,359,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000002_site02.npz
tile_000002_site03,tile_000002,2,train,0,3,northeast,362.150820590,316.972285122,48.256928719,90.037705148,26.000000,66.484584672,52,66,107,234,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000002_site03.npz
tile_000003_site00,tile_000003,3,train,1,0,southwest,103.898584893,213.538698710,74.115325322,25.474646223,26.000000,58.188250911,45,122,329,359,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000003_site00.npz
tile_000003_site01,tile_000003,3,train,1,1,southeast,317.250970354,76.575646039,108.356088490,78.812742588,26.000000,42.244909246,65,149,154,268,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000003_site01.npz
tile_000003_site02,tile_000003,3,train,1,2,northwest,78.147532803,320.758340355,47.310414911,19.036883201,26.000000,67.546907541,92,251,272,356,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000003_site02.npz
tile_000003_site03,tile_000003,3,train,1,3,northeast,292.642646553,265.599927862,61.100018034,72.660661638,26.000000,66.710127249,109,123,143,267,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000003_site03.npz
tile_000004_site00,tile_000004,4,train,2,0,southwest,104.653914603,187.121087275,80.719728181,25.663478651,53.000000,61.057542555,51,105,141,255,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000004_site00.npz
tile_000004_site01,tile_000004,4,train,2,1,southeast,353.542136867,116.751789546,98.312052613,87.885534217,53.000000,53.469339244,215,228,259,318,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000004_site01.npz
tile_000004_site02,tile_000004,4,train,2,2,northwest,134.620748678,385.224571647,31.193857088,33.155187170,53.000000,52.194673759,6,99,269,288,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000004_site02.npz
tile_000004_site03,tile_000004,4,train,2,3,northeast,378.142537910,274.668932834,58.832766792,94.035634478,53.000000,51.366093102,23,63,118,275,D:\桌面\dac\bs_inversion_pilot_v1\samples\train\tile_000004_site03.npz
