site_id,tile,tile_number,split,split_index,site_index,quadrant,tx_x_m,tx_y_m,tx_row_px,tx_col_px,tx_height_m,effective_power_db,azimuth_0_deg,azimuth_1_deg,azimuth_2_deg,azimuth_3_deg,sample_path
tile_000002_site00,tile_000002,2,train,0,0,radius_000_064m,298.484520306,253.580640344,64.104839914,74.121130076,26.000000,53.823566003,3,220,294,314,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000002_site00.npz
tile_000002_site01,tile_000002,2,train,0,1,radius_064_128m,178.187807778,245.630060755,66.092484811,44.046951944,26.000000,36.591512020,12,80,210,342,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000002_site01.npz
tile_000002_site02,tile_000002,2,train,0,2,radius_128_192m,244.768774146,389.627597528,30.093100618,60.692193536,26.000000,42.837683113,20,32,85,359,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000002_site02.npz
tile_000002_site03,tile_000002,2,train,0,3,radius_192_271m,313.310036758,66.927433285,110.768141679,77.827509189,26.000000,66.484584672,52,66,107,234,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000002_site03.npz
tile_000003_site00,tile_000003,3,train,1,0,radius_000_064m,228.053158311,224.075311235,71.481172191,56.513289578,26.000000,58.188250911,45,122,329,359,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000003_site00.npz
tile_000003_site01,tile_000003,3,train,1,1,radius_064_128m,329.883768534,330.968215833,44.757946042,81.970942134,26.000000,42.244909246,65,149,154,268,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000003_site01.npz
tile_000003_site02,tile_000003,3,train,1,2,radius_128_192m,100.648083070,190.492701773,79.876824557,24.662020767,26.000000,67.546907541,92,251,272,356,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000003_site02.npz
tile_000003_site03,tile_000003,3,train,1,3,radius_192_271m,69.180262617,67.751761274,110.562059682,16.795065654,26.000000,66.710127249,109,123,143,267,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000003_site03.npz
tile_000004_site00,tile_000004,4,train,2,0,radius_000_064m,289.237416560,201.799761301,77.050059675,71.809354140,53.000000,61.057542555,51,105,141,255,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000004_site00.npz
tile_000004_site01,tile_000004,4,train,2,1,radius_064_128m,153.367421553,325.120810480,46.219797380,37.841855388,53.000000,53.469339244,215,228,259,318,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000004_site01.npz
tile_000004_site02,tile_000004,4,train,2,2,radius_128_192m,218.908021390,395.039697938,28.740075516,54.227005347,53.000000,52.194673759,6,99,269,288,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000004_site02.npz
tile_000004_site03,tile_000004,4,train,2,3,radius_192_271m,392.220640065,92.661311131,104.334672217,97.555160016,53.000000,51.366093102,23,63,118,275,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000004_site03.npz
tile_000005_site00,tile_000005,5,train,3,0,radius_000_064m,229.510641707,246.589265404,65.852683649,56.877660427,26.000000,45.100109405,123,219,276,343,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000005_site00.npz
tile_000005_site01,tile_000005,5,train,3,1,radius_064_128m,137.862182850,269.378862331,60.155284417,33.965545713,26.000000,46.918385690,7,57,70,218,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000005_site01.npz
tile_000005_site02,tile_000005,5,train,3,2,radius_128_192m,311.246818736,420.563212596,22.359196851,77.311704684,26.000000,44.421872757,5,73,135,194,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000005_site02.npz
